Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Meat,310.0,Corporate,450.0,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25.0
Meat,400.0,Birthday,500.0,Room Temperature,Regular,Winter,Buffet,Suburban,High,40.0
Vegetables,302.0,Birthday,,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27.0
Meat,491.0,BIRTHDAY,497.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,32.0
MEAT,300.0,corporate,400.0,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25.0
Meat,302.0,Birthday,371.0,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27.0
Meat,240.0,Wedding,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20.0
Meat,300.0,Wedding,400.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25.0
Fruits,320.0,Corporate,400.0,Refrigerated,Regular,All Seasons,Buffet,Urban,High,
Meat,400.0,Corporate,500.0,Refrigerated,Occasional,Winter,Finger Food,Urban,High,40.0
Fruits,320.0,Wedding,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,35.0
Meat,302.0,Birthday,371.0,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27.0
Meat,400.0,Wedding,500.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Low,25.0
Meat,250.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Buffet,Urban,Low,10.0
Fruits,267.0,Corporate,393.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,24.0
Meat,350.0,Wedding,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,
Fruits,300.0,Birthday,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20.0
Fruits,380.0,Wedding,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35.0
